taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
3112110,Cotula coronopifolia,Cwc,Cold subtropical highland climate or subpolar oceanic climate with dry winters,3,11185,2.6821636119803307e-4
2651586,Ceratopteris thalictroides,Cfb,Temperate oceanic climate,2,1564,0.0012787723785166241
2726538,Carex muskingumensis,Cfb,Temperate oceanic climate,49,273,0.1794871794871795
3730835,Bacopa australis,Aw,"Tropical savanna, wet",43,53,0.8113207547169812
2774395,Chlorophytum laxum,BWh,Hot deserts climate,19,359,0.052924791086350974
5328593,Aponogeton distachyos,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,3,710,0.004225352112676056
2715505,Cyperus prolifer,Cfb,Temperate oceanic climate,9,268,0.033582089552238806
5283061,Fissidens geppii,Cfa,Humid subtropical climate,8,11,0.7272727272727273
2650967,Bolbitis heudelotii,BSh,Hot semi-arid (steppe) climate,1,140,0.007142857142857143
3754647,Astilboides tabularis,Dfb,Warm-summer humid continental climate,28,35,0.8
5329260,Egeria densa,Dfa,Hot-summer humid continental climate,62,3053,0.02030789387487717
3064056,Euphorbia palustris,Cfa,Humid subtropical climate,16,7263,0.0022029464408646563
2703041,Arundo donax,Dfb,Warm-summer humid continental climate,35,27114,0.0012908460573873275
5272847,Aegagropila linnaei,NA,NA,8,593,0.013490725126475547
2714156,Cyperus alternifolius,As,Tropical dry savanna climate,3,398,0.007537688442211055
7730307,Erythranthe lutea,Csb,Warm-summer Mediterranean climate,19,147,0.1292517006802721
2871883,Anubias hastifolia,NA,NA,2,40,0.05
2687948,Equisetum scirpoides,Cfb,Temperate oceanic climate,8,5848,0.0013679890560875513
5328550,Aponogeton ulvaceus,BSh,Hot semi-arid (steppe) climate,1,22,0.045454545454545456
5328774,Echinodorus cordifolius,NA,NA,2,261,0.007662835249042145
2865181,Alisma subcordatum,NA,NA,4,673,0.005943536404160475
2856891,Allium karataviense,Dsb,"Warm, dry-summer continental climate",3,53,0.05660377358490566
2703041,Arundo donax,Cfc,Subpolar oceanic climate,1,27114,3.688131592535222e-5
6070720,Erythranthe cardinalis,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,2,2370,8.438818565400844e-4
5362054,Crassula helmsii,BSh,Hot semi-arid (steppe) climate,1,9506,1.0519671786240269e-4
5328834,Echinodorus grandiflorus,As,Tropical dry savanna climate,3,336,0.008928571428571428
3086504,Anemopsis californica,As,Tropical dry savanna climate,1,2808,3.5612535612535614e-4
2717945,Eleocharis pusilla,Aw,"Tropical savanna, wet",1,2284,4.3782837127845885e-4
2926924,Clinopodium brownei,BSk,Cold semi-arid (steppe) climate,1,668,0.0014970059880239522
